REF,MASSE,MAT,NBOP,DIAM,EAU,PRIX
AXE28,5.628109945722504,Acier,3,29.65488623333802,893.3189736203848,30.239150541315738
AXE29,6.331731119758382,inox,2,54.602327758855665,383.36926192447476,35.76608713690148
AXE30,1.4180537144799796,Acier,5,41.556931299863145,161.21366560622556,26.2440279142899
AXE31,6.467903667112945,Acier,5,49.74056517708242,185.84209795019407,35.88275717584753
AXE32,2.5347171131856236,inox,3,35.1318546552596,773.4351001315986,23.258444007328663
AXE33,1.5854643368675156,inox,3,38.845194231317954,637.307160150448,25.733732969685857
AXE34,9.539969835279999,inox,4,34.625884690943195,146.06654231665073,32.445807421126126
AXE35,9.690688297671034,inox,1,19.762149389902227,129.90146580924755,38.99717412374848
AXE36,8.275576133048151,Acier,3,46.12260576307526,715.920674886164,51.17986068124283
AXE37,3.741523922560336,inox,3,24.03861812204279,119.12485604598385,20.653742260018824
AXE38,1.8790490260574548,inox,6,11.215798321572692,830.7670563258384,25.07338847060977
AXE39,7.158097238609412,inox,2,42.27361479535839,720.9301157986714,43.04914457112283
AXE40,4.961372443656412,Acier,6,18.855533970352447,127.28134160980477,16.316904281945778
AXE41,2.0983441136030097,Acier,6,57.02292921764572,130.59582838093232,41.62973150618649
AXE42,5.456592191001432,inox,5,57.696428850129365,987.3075995761167,52.329025021252015
AXE43,1.3094966900369656,Acier,1,55.743219511022424,405.5572559683143,29.359944923636007
AXE44,9.18388361870904,inox,2,28.50793501277222,402.11003971354637,35.69114175052161
AXE45,3.3290198344001523,Acier,4,10.772830826443371,822.1595888946274,15.88795970404448
AXE46,6.962700559185838,Acier,4,56.415928129386266,949.8861485146658,44.71822801338979
AXE47,3.8053996848046987,Acier,3,31.409207415865716,986.7010106317274,37.81330092151774
AXE48,5.680612190600297,Acier,3,58.33274095218348,765.7092759959945,57.73177081960293
AXE49,5.920392514089517,inox,4,58.18099885446264,407.44660625436995,38.01291264885835
AXE50,2.6636900997297435,inox,3,52.650472773368,129.32568086373533,35.7607195782337
AXE51,9.726261649881026,inox,1,24.722444603479282,788.2895701310649,36.44342845720321
AXE52,7.976195410250031,Acier,6,29.254886430096263,580.4840372490148,33.94904748921486
AXE53,9.455490474077703,inox,3,52.556833575842845,453.0109087846275,46.757537202728756
AXE54,9.053446153848839,inox,5,25.846100257813884,911.0366658399992,35.82035524660553
AXE55,6.381099809299767,inox,3,18.474637334304624,155.63760819084376,23.79850250738442
AXE56,9.296868115208051,Acier,2,37.840063122917506,517.9938490763161,38.53895570058283
AXE57,1.7964325184672756,Acier,1,56.80773870803905,60.78596252904811,33.95687814514375
AXE58,2.763845761772307,Acier,2,44.80148983374865,495.22760989441997,32.62952199211745
AXE59,1.4070456001948426,inox,2,38.50305850446825,103.48811189774548,21.90576133726922
AXE60,3.927972976869379,inox,5,14.858824688538427,162.87702045466833,12.376310192346665
AXE61,4.498095607205338,inox,1,40.750361334958484,161.64993443824963,28.10401457343075
AXE62,3.442141285965063,Acier,1,59.50269250521316,666.7497870102604,47.080082823768095
AXE63,8.458637582367365,Acier,1,17.0042007618262,758.7426353021522,35.51138783679126
AXE64,4.210779940242304,inox,1,35.91648261818683,604.2003268423016,27.534028234008286
AXE65,3.5284105871864266,Acier,1,53.86865359639777,964.0639210508148,44.12844871022602
AXE66,5.884264748424236,Acier,5,47.03843088771022,406.1270505475189,43.105951063037715
AXE67,2.2683180247728636,Acier,3,44.8507870497634,321.4264819677677,21.829267988498245
AXE68,8.219772826786357,Acier,2,45.12420419935546,875.1691717799872,50.47014043294999
AXE69,1.6709557931179373,inox,1,27.97455756098776,262.41604659348,16.64023203793532
AXE70,9.881982429404655,Acier,3,24.679592213224666,965.0614124685808,44.60736843307325
AXE71,7.9502029236699165,Acier,3,50.46805777392568,61.54675095532552,37.93360646114334
AXE72,2.7884411338075514,Acier,2,50.50566973395904,971.384885372257,31.519155484994602
AXE73,1.0496990541124216,Acier,5,53.35361592900519,91.0019163530473,21.548513046842096
AXE74,8.339152856093508,inox,4,55.66202762782356,896.5859580131676,53.71560383953738
AXE75,7.361716094628554,inox,4,35.56711994304689,551.3160536319849,39.31876520570782
AXE76,7.561064512368886,Acier,3,35.07581473435998,993.3165563133354,38.07161882952907
AXE77,7.941433120173512,Acier,6,49.91475894833876,120.10673649862892,45.23427537338956
AXE78,1.6664018656068134,Acier,6,42.49819653888826,576.1615701812548,22.035917391125505
AXE79,4.226191556898454,Acier,2,45.098343862885166,970.837408838144,40.37953014038435
AXE80,2.0428215357261674,Acier,4,49.789633471805054,546.9429519616414,28.39480832815899
AXE81,8.767930832880342,Acier,3,54.50026709087832,647.9287062284994,48.00610173447404
AXE82,6.609683141448022,inox,5,26.89975784257679,710.9612545353863,34.01585110612037
AXE83,3.9780822236738427,Acier,4,28.7791476319972,481.8140115293846,22.86181155222037
AXE84,1.5720251525742128,inox,3,14.69909699204345,646.1801760798603,15.032622840819629
AXE85,3.79884089544096,inox,3,38.9140070498087,605.0985963269452,38.13713532512793
AXE86,3.9266498982407234,Acier,1,11.797113689837104,906.1001099664395,19.928398393448653
AXE87,7.566455605042576,inox,5,33.27990090662301,93.17406132438498,36.88306283696622
AXE88,6.738017242196918,inox,1,37.13223173537883,316.9150301126188,29.56276637992135
AXE89,8.98491468318694,inox,2,24.32706260641422,952.8909098727308,42.31129065788471
AXE90,5.249934326457543,inox,1,39.541663028450536,895.7505946963705,46.43604921739356
AXE91,2.0763482134447155,inox,1,11.52501249695247,482.8739151464273,2.3857193261934917
AXE92,7.419203085006955,inox,4,11.86740943746072,639.12596791146,23.178894290506484
AXE93,7.847065437552077,Acier,6,51.13002803298291,313.51212383207604,47.279626765819074
AXE94,6.051494778125466,inox,3,28.009532070563143,228.71510173757324,27.37967967869327
AXE95,7.938704619591049,inox,5,16.35302563259424,490.51348469298307,30.814786269265593
AXE96,5.444160367279517,inox,1,36.11216300274022,385.68461662475016,29.781322468597544
AXE97,5.704595464437946,Acier,5,48.499677654930544,604.4733062583284,42.136711756288946
AXE98,4.847869165226946,inox,6,20.79105137484216,123.84790511673559,20.55135689208193
AXE99,1.2287721406968566,Acier,6,41.14452379095002,975.6750672828582,38.62546715799634
AXE100,1.97102284293974,inox,1,14.2673732496884,986.9002072556227,22.216838599785973
AXE101,1.2828626711806081,Acier,2,12.584086058430385,713.2536283187579,17.67831796514
AXE102,6.727693701374023,Acier,1,36.567731578407404,559.2915480269144,35.27278384160855
AXE103,3.82920382968694,inox,4,37.031756080505325,344.05123547201134,27.17676693398419
AXE104,5.577136220482325,inox,3,41.87149507491033,823.1052687216012,38.15828172653773
AXE105,9.168098265334837,Acier,2,46.30456668613308,700.4946139261854,50.46568672488955
AXE106,3.2436300623398746,inox,1,58.79260397312673,204.48609237764674,35.82350063091827
AXE107,4.693446307320667,Acier,5,35.81501741505977,915.3808252691504,37.89708385934479
AXE108,7.799960246887438,Acier,2,26.1478236470623,831.4103807770106,47.36494011830332
AXE109,3.059183489424602,Acier,2,49.759309738435185,952.3099176273279,44.87674454149854
AXE110,1.6928191884591368,Acier,1,23.541612563103712,739.433532968942,20.920662327320343
AXE111,3.6077630762239123,Acier,2,31.948571035281805,632.7444361390004,35.52332564229845
AXE112,2.4509915852860398,inox,5,13.922819067113299,447.33088447608793,14.296324683781851
AXE113,9.367278871083158,Acier,6,11.267537170772876,936.0920591863126,23.53862424352661
AXE114,8.273083416079754,Acier,2,58.132420733896254,872.7606950253879,49.29955259477449
AXE115,6.700633808593811,inox,6,51.79900602561029,92.95773660087994,30.876388390872293
AXE116,8.84314531168946,Acier,5,44.798710304684896,75.0486257723894,39.07856461323872
AXE117,8.23304869209203,inox,1,30.447647220713495,407.64019853414715,35.858414875830036
AXE118,2.6791305299743224,inox,3,18.66471600354229,820.0256642427413,31.27306226552362
AXE119,9.0330309864098,inox,2,17.8218521335543,987.9123228491973,38.49074813690954
AXE120,5.854080177240856,Acier,3,22.512144908229764,192.89604654835176,23.79769063003579
AXE121,8.266961396476564,Acier,5,37.46133323530603,614.4241795845284,45.55585911236887
AXE122,9.06482169931144,Acier,2,45.72979613500312,411.84631379947047,34.057328059079715
AXE123,3.8620312747467747,inox,6,43.009868835886564,971.418677923873,40.121256537218386
AXE124,1.9904673207490908,Acier,4,23.996694847297142,850.0129769789232,28.33373780437082
AXE125,3.051416462877475,inox,3,57.743264033159704,846.412269475581,36.045656408191405
AXE126,4.843970097636307,Acier,2,46.89484583478843,495.2585018052218,43.806718346753684
AXE127,8.362132893302437,inox,3,37.717702625570034,444.0785272207819,41.71638440906978
AXE128,8.74657524930709,Acier,2,40.58603731171761,309.7367183341709,38.80709676831069
AXE129,1.0625691747807164,Acier,1,30.980003121389494,103.55672181838077,21.81461645897141
AXE130,5.596725723198092,Acier,6,22.386549475057873,871.4862574423006,42.45505304737011
AXE131,4.7566990283390105,inox,3,27.798633932563078,822.2559586735737,32.544605884987774
AXE132,2.9989702942365724,inox,4,47.892305523218454,999.7317896218241,41.1825141778023
AXE133,2.0787883060031453,Acier,4,10.719674431487793,996.8049952202101,17.188659282251066
AXE134,4.038536542632651,Acier,5,15.803632025345813,577.660120322496,17.506268453839212
AXE135,9.486187335212673,inox,2,12.300132101087637,780.538044421485,37.079500247905244
AXE136,3.908826388186797,inox,3,12.036440115948507,947.5274433883067,19.030728138686577
AXE137,5.669115595690295,inox,5,52.77302920055036,857.1650211435409,46.65422718918814
AXE138,7.3271706300566,Acier,3,45.18289296900118,284.98069665603776,37.707307477348586
AXE139,4.272666421413646,inox,2,33.70869145436626,478.01692854458884,32.574746984188266
AXE140,9.746038744488645,Acier,4,14.891708032550074,172.70144439392024,30.333256475626275
AXE141,9.662025654479,inox,1,34.58079375584162,956.3484758957862,51.36563266712617
AXE142,3.2660406624282774,Acier,4,33.67358853902829,625.8659027283361,27.077452627380325
AXE143,5.475236553031469,inox,5,18.66009349550076,267.2106652282896,21.603251829629357
AXE144,3.707904788350927,inox,6,31.692582461898652,688.1156501855639,25.24943873059528
AXE145,3.5635644493972087,inox,1,29.92523671986867,637.221828435001,26.240499242698203
AXE146,1.3319825261907952,inox,5,40.79250490261082,390.25458213119845,28.84926579022325
AXE147,6.486079005819072,inox,2,41.75468254338219,157.87971258964757,39.21323949245247
AXE148,5.524111209059753,Acier,1,12.265200488602225,687.9945358131596,19.449941399664088
AXE149,1.463308761249904,inox,5,28.73063073132356,544.2923158586036,27.08288564727593
AXE150,3.507818178129503,inox,2,41.292995785711824,783.7024721488574,42.277348264628245
AXE151,9.174392973699883,inox,4,35.15681292900439,544.1553260563937,43.4359201885844
AXE152,3.1560570160027517,Acier,6,52.824492059416116,859.5724253026132,50.70406337753003
AXE153,2.304053848821008,inox,2,42.93468158094725,574.3114968357613,27.949617460955388
AXE154,5.405074842498067,Acier,3,18.146721354071484,582.891072958617,19.48914757506096
AXE155,9.870854086995406,inox,2,13.528437370021493,882.8209225254278,26.440534839734447
AXE156,3.178497443603504,inox,2,42.12096391031578,433.3087229017772,39.230785628828585
AXE157,7.049219926652907,Acier,6,11.32556552708109,177.3144670281087,24.80619556889774
AXE158,7.854576537958458,inox,3,39.28877906367316,77.34354249767202,35.849054678177936
AXE159,3.1387378959315972,Acier,5,57.01151207124788,767.3803928899381,43.856878887985616
AXE160,7.553947137506736,Acier,5,38.77370889379395,639.2940737857914,35.26024422327648
AXE161,4.3100481944732785,inox,2,29.408496310326097,718.8757796942624,42.74186223913637
AXE162,6.690752475342215,Acier,3,42.16441092211766,252.31595343346518,37.63297585595406
AXE163,6.7017673968480524,inox,3,32.91264452457583,179.55290180743128,32.2023600470828
AXE164,5.821972156672826,inox,6,37.280839465796745,63.81743238448783,34.551371489582365
AXE165,1.8126079304896747,Acier,4,57.07324043882626,383.05818086626715,38.39746404773872
AXE166,8.51772246030314,Acier,5,29.305131890038712,610.4218025119014,38.91164901214031
AXE167,3.8870205847456223,Acier,6,58.05952819119571,422.6318428447457,37.077751416309994
AXE168,2.678666593598688,Acier,1,55.26753209780318,465.6011759225426,40.004452781004375
AXE169,1.3669762739928752,inox,5,19.78955673946482,908.950759769061,31.12836099778394
AXE170,6.318036488694176,inox,6,13.468065043758273,380.84269367213534,29.90563266676373
AXE171,7.098079256580542,Acier,5,15.038900068871332,538.2900147018203,35.06444182781194
AXE172,1.1492904603507053,inox,4,10.911091282577486,794.4703621040859,13.142751800875088
AXE173,5.608837524693529,inox,1,14.72214803779642,426.7156432052067,17.897881399044433
AXE174,3.0384619767814414,inox,4,44.150338670817845,640.9823652164798,33.93298234063836
AXE175,6.806555113685048,inox,1,13.55943242301145,869.2455233094079,29.363906233413374
AXE176,2.569297861044923,Acier,2,25.948781514688065,952.0445924747601,33.10438999653622
AXE177,7.218439642922194,Acier,6,52.24376554847273,189.71980688258603,33.99363698033251
AXE178,4.480618116704837,inox,1,11.163596786791294,930.2582439034197,31.493368663142583
AXE179,9.43056989863061,Acier,4,50.72342412944679,517.5104784255614,48.607917153345284
AXE180,2.2376884973139393,Acier,5,24.092738738669997,295.33216888401046,17.34066270306588
AXE181,4.069597159452327,Acier,1,15.908241381082814,486.17896842634826,15.894582817408706
AXE182,2.021261691165302,inox,6,44.836858268207536,981.0309465212032,27.996978622317556
AXE183,9.322242564507064,inox,1,41.4471423389942,517.987189293226,48.66378111125306
AXE184,8.896054180428829,inox,3,53.873600676352645,362.3140297731328,48.71863883270733
AXE185,3.3214746494364005,Acier,5,46.75355219019429,651.7308116008895,30.08722901127357
AXE186,6.939856414307611,inox,6,50.17404651924243,278.1383378392834,35.27272560631119
AXE187,8.354999801810942,inox,6,24.101728628565326,122.07016170323072,28.302642038486216
AXE188,5.996807304395161,Acier,2,18.871977188986143,172.43573581511674,31.499068187881523
AXE189,5.766855205204059,inox,4,47.53073758204292,171.64354700988383,35.71755791471039
AXE190,3.1766706181040654,inox,2,50.3417369633632,194.30755883667965,25.951570540665998
AXE191,1.837924910253093,Acier,6,59.52525710003366,181.88581401693963,34.02862119026269
AXE192,9.074941821579941,Acier,5,30.630883845571326,658.8310075630538,38.690017792837736
AXE193,9.103762514469974,Acier,1,28.600904289639157,222.7860801791876,21.25140476084355
AXE194,6.697913115459412,inox,1,48.82064803709984,378.38391915767005,41.31851510845639
AXE195,4.051268119438307,inox,5,27.040177012650894,901.9489894107112,29.48744198826578
AXE196,4.142886171513948,inox,6,56.537866280178235,500.26355824972876,45.03837288968138
AXE197,7.533601109832154,Acier,1,52.92063759215059,684.1798515949758,57.61410000641608
AXE198,9.073992339573193,Acier,1,31.44970136875092,213.70387764154833,41.64269928767611
AXE199,8.983777818386056,inox,1,47.54355338957487,232.67456786823723,42.721634557467766
AXE200,8.018879912718614,inox,4,47.727143704234116,88.82518545315492,35.256953988377475
